MOVIE_NAME,WRITER
Frank Miller's Sin City:A Dame to Kill For,Frank Miller
Labor Day,Jason Reitman
Whiplash,Damien Chazelle
Winter's Tale,Akiva Goldsman
The Drop,Dennis Lehane
Magic in the Moonlight,Woody Allen
Sabotage (2014),David Ayer
Sabotage (2014),Skip Woods
Moms' Night Out,Jon Erwin
Moms' Night Out,Andrea Gyertson Nasfell
The Quiet Ones,Oren Moverman
The Quiet Ones,John Pogue
The Quiet Ones,Craig Rosenberg
Legends of Oz:Dorothy's Return,Adam Balsam
Legends of Oz:Dorothy's Return,Randi Barnes
Inherent Vice,Paul Thomas Anderson
Vampire Academy,Daniel Waters
Bad Words,Andrew Dodge
The Interview (2014),Dan Sterling
A Most Violent Year,J.C. Chandor
The Skeleton Twins,Mark Heyman
The Skeleton Twins,Craig Johnson
The Wind Rises,Hayao Miyazaki
Mr. Turner,Mike Leigh
Calvary,John Michael McDonagh
Wish I Was Here,Adam J. Braff
Wish I Was Here,Zach Braff
The Grand Seduction,Michael Dowse
Before I Go To Sleep,Rowan Joffe
Obvious Child,Gillian Robespierre
The Identical,Howard Klausner
The Good Lie,Magaret Nagle
The Raid 2,Gareth Evans
Kill the Messenger,Peter Landesman
The Homesman,Tommy Lee Jones
The Immigrant,James Gray
The Immigrant,Ric Menello
Only Lovers Left Alive,Jim Jarmusch
Tusk,Kevin Smith
Locke,Steven Knight
The Rover,David Michod
The Captive,Atom Egoyan
Laggies,Andrea Seigel
50 to 1,Jim Wilson
Third Person,Paul Haggis
"Men, Women & Children",Jason Reitman
The Disappearance of Eleanor Rigby,Ned Benson
The Two Faces of January,Hossein Amini
Joe (2014),Gary Hawkins
Jimi:All Is By My Side,John Ridley
The Guest (2014),Simon Barrett
Mood Indigo,Michel Gondry
The Last of Robin Hood,Richard Glatzer
The Last of Robin Hood,Wash Westmoreland
Night Moves,Kelly Reichardt
Listen Up Philip,Alex Ross Perry
Horns,Keith Bunin
One Chance,Justin Zackham
Walk of Shame,Steven Brill
Rudderless,William H. Macy
Blood Ties (2014),James Gray
Child of God,James Franco
White Bird in a Blizzard,Gregg Araki
Happy Christmas,Joe Swanberg
Grand Piano,Damien Chazelle
Mr. Pip,Andrew Adamson
The Hunger Games:Catching Fire,Michael Arndt
The Hunger Games:Catching Fire,Simon Beaufoy
Iron Man 3,Shane Black
Iron Man 3,Drew Pearce
Frozen,Jennifer Lee
Frozen,Shane Morris
Despicable Me 2,Ken Daurio
Despicable Me 2,Cinco Paul
Man of Steel,David S. Goyer
Man of Steel,Christopher Nolan
Gravity,Alfonso Cuaron
Gravity,Jonas Cuaron
Monsters University,Robert L. Baird
Monsters University,Daniel Gerson
Monsters University,Dan Scanlon
The Hobbit:The Desolation of Smaug,Philippa Boyens
The Hobbit:The Desolation of Smaug,Guillermo del Toro
The Hobbit:The Desolation of Smaug,Peter Jackson
The Hobbit:The Desolation of Smaug,Fran Walsh
Fast & Furious 6,Chris Morgan
Oz The Great and Powerful,Mitchell Kapner
Oz The Great and Powerful,David Lindsay-Abaire
Star Trek Into Darkness,Alex Kurtzman
Star Trek Into Darkness,Damon Lindelof
Star Trek Into Darkness,Roberto Orci
Thor:The Dark World,Christopher Markus
Thor:The Dark World,Stephen McFeely
Thor:The Dark World,Christopher Yost
World War Z,Matthew Michael Carnahan
World War Z,Drew Goddard
World War Z,Damon Lindelof
The Croods,Kirk De Micco
The Croods,Chris Sanders
The Heat,Katie Dippold
American Hustle,David O. Russell
American Hustle,Eric Warren Singer
The Great Gatsby (2013),Baz Luhrmann
The Conjuring,Carey Hayes
The Conjuring,Chad Hayes
Identity Thief,Craig Mazin
Grown Ups 2,Tim Herlihy
Grown Ups 2,Adam Sandler
Grown Ups 2,Fred Wolf
The Wolverine,Mark Bomback
The Wolverine,Scott Frank
Anchorman 2:The Legend Continues,Will Ferrell
Anchorman 2:The Legend Continues,Adam McKay
Lone Survivor,Peter Berg
