MOVIE_NAME,ACTOR
The Night Before,Joseph Gordon-Levitt
The Night Before,Anthony Mackie
Krampus,Toni Collette
Krampus,Adam Scott
Max (2015),Thomas Haden Church
The Age of Adaline,Blake Lively
The Age of Adaline,Harrison Ford
The Age of Adaline,Amanda Crew
Brooklyn,Saoirse Ronan
Brooklyn,Jim Broadbent
The Longest Ride,Melissa Benoist
The Longest Ride,Alan Alda
The Boy Next Door,Jennifer Lopez
The Boy Next Door,Ryan Guzman
The Boy Next Door,John Corbett
Pan,Hugh Jackman
Pan,Garrett Hedlund
Pan,Amanda Seyfried
Pan,Rooney Mara
Hot Pursuit,Reese Witherspoon
Concussion (2015),Will Smith
Concussion (2015),Alec Baldwin
Concussion (2015),Luke Wilson
The DUFF,Bella Thorne
Woman in Gold,Helen Mirren
Woman in Gold,Ryan Reynolds
Woman in Gold,Katie Holmes
Woman in Gold,Max Irons
The Second Best Exotic Marigold Hotel,Judi Dench
The Second Best Exotic Marigold Hotel,Maggie Smith
The Second Best Exotic Marigold Hotel,Richard Gere
The Second Best Exotic Marigold Hotel,Dev Patel
Entourage,Billy Bob Thornton
Paper Towns,Cara Delevigne
Chappie,Dev Patel
Chappie,Sharlto Copley
Chappie,Sigourney Weaver
Chappie,Hugh Jackman
Crimson Peak,Mia Wasikowska
Crimson Peak,Jessica Chastain
Crimson Peak,Tom Hiddleston
A Walk in the Woods,Robert Redford
A Walk in the Woods,Emma Thompson
Point Break (2015),Luke Bracey
Point Break (2015),Teresa Palmer
Point Break (2015),Edgar Ramirez
The Last Witch Hunter,Vin Diesel
The Last Witch Hunter,Elijah Wood
The Last Witch Hunter,Michael Caine
No Escape,Owen Wilson
No Escape,Pierce Brosnan
No Escape,Lake Bell
Ricki and the Flash,Meryl Streep
Ricki and the Flash,Kevin Kline
Run All Night,Common
Run All Night,Liam Neeson
Run All Night,Ed Harris
Run All Night,Boyd Holbrook
Love the Coopers,Ed Helms
Love the Coopers,Diane Keaton
Love the Coopers,Anthony Mackie
Love the Coopers,Amanda Seyfried
Love the Coopers,Marisa Tomei
Love the Coopers,Olivia Wilde
The Lazarus Effect,Olivia Wilde
The Lazarus Effect,Mark Duplass
In the Heart of the Sea,Tom Holland
In the Heart of the Sea,Chris Hemsworth
In the Heart of the Sea,Cillian Murphy
In the Heart of the Sea,Ben Whishaw
In the Heart of the Sea,Brendan Gleeson
Black or White,Kevin Costner
Black or White,Anthony Mackie
Aloha,Bradley Cooper
Aloha,Emma Stone
Aloha,Rachel McAdams
Aloha,Bill Murray
Aloha,Jay Baruchel
Aloha,John Krasinski
Aloha,Alec Baldwin
Aloha,Danny McBride
The Secret in their Eyes (2015),Dean Norris
The Secret in their Eyes (2015),Chiwetel Ejiofor
The Secret in their Eyes (2015),Nicole Kidman
The Secret in their Eyes (2015),Julia Roberts
Still Alice,Julianne Moore
Still Alice,Alec Baldwin
Still Alice,Kristen Stewart
Still Alice,Kate Bosworth
Steve Jobs,Michael Fassbender
Steve Jobs,Kate Winslet
Steve Jobs,Seth Rogen
Mr. Holmes,Laura Linney
Mr. Holmes,Ian McKellen
Seventh Son,Jeff Bridges
Seventh Son,Julianne Moore
Seventh Son,Ben Barnes
Room,Brie Larson
Room,Joan Allen
Room,William H. Macy
American Ultra,Jesse Eisenberg
American Ultra,Kristen Stewart
American Ultra,Topher Grace
American Ultra,John Leguizamo
Woodlawn,Jon Voight
Burnt,Omar Sy
Burnt,Bradley Cooper
Burnt,Emma Thompson
Carol,Cate Blanchett
Carol,Rooney Mara
Love & Mercy,John Cusack
Love & Mercy,Paul Dano
Love & Mercy,Elizabeth Banks
Love & Mercy,Paul Giamatti
Love & Mercy,Kenny Wormald
Strange Magic,Tony Cox*
Hot Tub Time Machine 2,Adam Scott
Hot Tub Time Machine 2,Clark Duke
Self/Less,Ryan Reynolds
Self/Less,Matthew Goode
Self/Less,Ben Kingsley
Self/Less,Derek Luke
Far from the Madding Crowd,Carey Mulligan
Far from the Madding Crowd,Matthias Schoenaerts
Far from the Madding Crowd,Michael Sheen
Far from the Madding Crowd,Tom Sturridge
Far from the Madding Crowd,Juno Temple
The 33,Antonio Banderas
The Danish Girl,Eddie Redmayne
The Danish Girl,Matthias Schoenaerts
The Danish Girl,Ben Whishaw
The Danish Girl,Amber Heard
The Gunman,Mark Rylance
The Gunman,Sean Penn
The Gunman,Javier Bardem
The Gunman,Idris Elba
Unfinished Business,Dave Franco
Unfinished Business,Vince Vaughn
Unfinished Business,Tom Wilkinson
The Walk,Joseph Gordon-Levitt
The Walk,Ben Kingsley
The Lady in the Van,Maggie Smith
Blackhat,Chris Hemsworth
Blackhat,Viola Davis
Trumbo (2015),Bryan Cranston
Trumbo (2015),Diane Lane
Trumbo (2015),Helen Mirren
Mortdecai,Johnny Depp
Mortdecai,Gwyneth Paltrow
Mortdecai,Ewan McGregor
Mortdecai,Paul Bettany
Mortdecai,Jeff Goldblum
While We're Young,Ben Stiller
While We're Young,Naomi Watts
While We're Young,Amanda Seyfried
I'll See You In My Dreams,Sam Elliott
