MOVIE_NAME,DOMESTIC_OPENING,FOREIGN_TOTAL,BUDGET,GENRE,RELEASE_DATE
Puerto Ricans in Paris,26674,0,0,Comedy,2016-06-10 00:00:00
Tale of Tales,8871,0,0,Fantasy,2016-04-22 00:00:00
Our Last Tango,6550,0,0,Foreign,2016-04-15 00:00:00
"New York, New York (2016)",42239,0,0,Drama,2016-04-15 00:00:00
No One's Life Is Easy:So I Married an Anti-Fan,58767,0,0,Comedy,2016-07-01 00:00:00
Los Sures,26088,0,0,Documentary,2016-04-15 00:00:00
Mountains May Depart,5550,0,0,Drama,2016-02-12 00:00:00
Vita Activa:The Spirit of Hannah Arendt,13244,0,0,Documentary,2016-04-06 00:00:00
Fireworks Wednesday,6132,0,0,Drama,2016-03-18 00:00:00
Les cowboys,13178,0,0,Drama,2016-06-24 00:00:00
Colliding Dreams,16438,0,0,Documentary,2016-03-04 00:00:00
Sweet Bean,4630,0,0,Drama,2016-03-18 00:00:00
Saala Khadoos,76931,0,0,Sports Drama,2016-01-29 00:00:00
Sweet 20,24715,0,0,Comedy,2016-03-11 00:00:00
Zero Days,49110,0,0,Documentary,2016-07-08 00:00:00
The Congressman,14260,0,0,Comedy / Drama,2016-04-29 00:00:00
The Dark Horse,8152,0,0,Drama,2016-04-01 00:00:00
Phantom Detective,7804,0,0,Action Comedy,2016-05-11 00:00:00
Ran (2016 re-issue),11462,0,0,Drama,2016-02-26 00:00:00
Trapped (2016),17626,0,0,Documentary,2016-03-04 00:00:00
Creative Control,6964,0,0,Drama,2016-03-11 00:00:00
"Life, Animated",21883,0,0,Documentary,2016-07-01 00:00:00
Too Late,7000,0,0,Drama,2016-03-18 00:00:00
Time Renegades,6068,0,0,Fantasy,2016-04-15 00:00:00
Raiders!:The Story of the Greatest Fan Film Ever Made,26059,0,0,Documentary,2016-06-17 00:00:00
The Kind Words,8571,0,0,Comedy / Drama,2016-06-24 00:00:00
Sold,5070,0,0,Drama,2016-04-01 00:00:00
DONGJU:The Portrait of a Poet,17724,0,0,Drama,2016-04-01 00:00:00
Wedding Doll,2771,0,0,Drama,2016-04-15 00:00:00
L'attesa,5686,0,0,Drama,2016-04-29 00:00:00
Regression,33915,17616062,0,Thriller,2016-02-05 00:00:00
Clown,26920,0,0,Horror Thriller,2016-06-17 00:00:00
Diary of a Chambermaid,10053,0,0,Drama,2016-06-10 00:00:00
High Strung (2016),40708,0,0,Music Drama,2016-04-08 00:00:00
The Club,6514,0,0,Drama,2016-02-05 00:00:00
The Last Man on the Moon,30880,0,0,Documentary,2016-02-26 00:00:00
The Fallen Idol (2016 re-issue),12136,0,0,Drama,2016-05-27 00:00:00
Cemetery of Splendor,7780,0,0,Drama,2016-03-04 00:00:00
King Georges,15031,0,0,Documentary,2016-02-26 00:00:00
King Georges,15031,0,0,Documentary,2016-02-26 00:00:00
In the Shadow of Women,10431,0,0,Drama,2016-01-15 00:00:00
Pele:Birth of a Legend,7226,0,0,Sports Drama,2016-05-13 00:00:00
The Treasure,13624,0,0,Comedy,2016-01-08 00:00:00
Ma ma,8874,1090163,0,Drama,2016-05-20 00:00:00
A Melody to Remember,0,0,0,War Drama,2016-01-29 00:00:00
Phantom of the Theatre,21001,0,0,Fantasy,2016-05-06 00:00:00
Mastizaade,29878,0,0,Comedy,2016-01-29 00:00:00
The Homeless Billionaire,19771,0,0,Romantic Comedy,2016-06-17 00:00:00
Catching the Sun,0,0,0,Documentary,2016-04-01 00:00:00
Our Little Sister,25118,0,0,Drama,2016-07-08 00:00:00
"My Love, Don't Cross that River",6340,0,0,Documentary,2016-06-17 00:00:00
Trust Fund,18023,0,0,Drama,2016-01-08 00:00:00
,0,0,0,NONE,
The Unknowns,0,0,0,Documentary,2016-05-30 00:00:00
Until Forever,12445,0,0,Drama,2016-02-12 00:00:00
Band of Outsiders (2016 re-issue),13252,0,0,Drama,2016-05-06 00:00:00
Songs My Brothers Taught Me,3430,0,0,Drama,2016-03-02 00:00:00
Mr. Right,25369,0,0,Action Comedy,2016-04-08 00:00:00
Eisenstein in Guanajuato,9823,0,0,Romantic Comedy,2016-02-05 00:00:00
Presenting Princess Shaw,4814,0,0,Documentary,2016-05-27 00:00:00
Monster Hunt,21074,385252051,0,Action Fantasy,2016-01-22 00:00:00
"Rio, I Love You",0,0,0,Drama,2016-04-15 00:00:00
Being Charlie,11872,0,0,Comedy,2016-05-06 00:00:00
Under the Sun (2016),15454,0,0,Documentary,2016-07-06 00:00:00
Men & Chicken,2654,4591767,0,Comedy,2016-04-22 00:00:00
The Dog Wedding,12132,0,0,Romantic Comedy,2016-03-11 00:00:00
Troublemakers:The Story of Land Art,5424,9109,0,Documentary,2016-01-08 00:00:00
No Home Movie,0,0,0,Documentary,2016-02-18 00:00:00
Time to Choose,12233,0,0,Documentary,2016-06-03 00:00:00
From Afar,5136,0,0,Drama,2016-06-08 00:00:00
Valley of Love,9849,0,0,Drama,2016-03-25 00:00:00
"Rabin, the Last Day",7940,0,0,Drama,2016-01-29 00:00:00
Take Me to the River (2016),1509,0,0,Drama,2016-03-18 00:00:00
Therapy for a Vampire,3361,0,0,Horror Comedy,2016-06-10 00:00:00
Blackway,16458,0,0,Thriller,2016-06-10 00:00:00
Nuts!,0,0,0,Documentary,2016-06-22 00:00:00
Anesthesia,6747,0,0,Drama / Thriller,2016-01-08 00:00:00
Papa (Luo shan ji dao dan ji hua),14644,0,0,Comedy / Drama,2016-03-18 00:00:00
Unlocking the Cage,3708,0,0,Documentary,2016-05-25 00:00:00
Standing Tall (La tete haute),7488,0,0,Drama,2016-04-01 00:00:00
The New Year's Eve of Old Lee,15519,0,0,Comedy,2016-02-12 00:00:00
Neon Bull,6413,0,0,Drama,2016-04-08 00:00:00
Chevalier,5968,0,0,Drama,2016-05-27 00:00:00
A Monster with a Thousand Heads,3900,0,0,Drama / Thriller,2016-05-11 00:00:00
Lolo,4242,0,0,Romantic Comedy,2016-03-11 00:00:00
