MOVIE_NAME,DIRECTOR
Wish I Was Here,Zach Braff
Mommy,Xavier Dolan
What If (2014),Michael Dowse
Before I Go To Sleep,Rowan Joffe
Obvious Child,Gillian Robespierre
The Trip to Italy,Michael Winterbottom
The Identical,Dustin Marcellino
The Pyramid,Gregory Levasseur
The Good Lie,Philippe Falardeau
The Raid 2,Gareth Evans
Kill the Messenger,Michael Cuesta
The Homesman,Tommy Lee Jones
The Immigrant,James Gray
Only Lovers Left Alive,Jim Jarmusch
Tusk,Kevin Smith
Locke,Steven Knight
Hector And The Search For Happiness,Peter Chelsom
The Rover,David Michod
The Captive,Atom Egoyan
Laggies,Lynn Shelton
50 to 1,Jim Wilson
Third Person,Paul Haggis
Enemy,Denis Villeneuve
"Men, Women & Children",Jason Reitman
The Disappearance of Eleanor Rigby,Ned Benson
Tracks (2014),John Curran
The Two Faces of January,Hossein Amini
Venus in Fur,Roman Polanski
Joe (2014),David Gordon Green
Glen Campbell... I'll Be Me,James Keach
Jimi:All Is By My Side,John Ridley
The Guest (2014),Adam Wingard
Mood Indigo,Michel Gondry
The Last of Robin Hood,Richard Glatzer
The Last of Robin Hood,Wash Westmoreland
Night Moves,Kelly Reichardt
Blue Ruin,Jeremy Saulnier
The Zero Theorem,Terry Gilliam
Supermensch:The Legend of Shep Gordon,Mike Myers
Listen Up Philip,Alex Ross Perry
God's Pocket,John Slattery
Duran Duran:Unstaged,David Lynch
One Chance,David Frankel
Walk of Shame,Steven Brill
Rudderless,William H. Macy
A Master Builder,Jonathan Demme
Interior. Leather Bar.,James Franco
Child of God,James Franco
White Bird in a Blizzard,Gregg Araki
Happy Christmas,Joe Swanberg
Falcon Rising,Ernie Barbarash
Mr. Pip,Andrew Adamson
The Hunger Games:Catching Fire,Francis Lawrence
Iron Man 3,Shane Black
Frozen,Chris Buck
Frozen,Jennifer Lee
Despicable Me 2,Pierre Coffin
Despicable Me 2,Chris Renaud
Man of Steel,Zack Snyder
Gravity,Alfonso Cuaron
Monsters University,Dan Scanlon
The Hobbit:The Desolation of Smaug,Peter Jackson
Fast & Furious 6,Justin Lin
Oz The Great and Powerful,Sam Raimi
Star Trek Into Darkness,J.J. Abrams
Thor:The Dark World,Alan Taylor
World War Z,Marc Forster
The Croods,Kirk De Micco
The Croods,Chris Sanders
The Heat,Paul Feig
We're the Millers,Rawson Marshall Thurber
American Hustle,David O. Russell
The Great Gatsby (2013),Baz Luhrmann
The Conjuring,James Wan
Identity Thief,Seth Gordon
Grown Ups 2,Dennis Dugan
The Wolverine,James Mangold
Anchorman 2:The Legend Continues,Adam McKay
Lone Survivor,Peter Berg
G.I. Joe:Retaliation,Jon Chu
Now You See Me,Louis Leterrier
The Wolf of Wall Street,Martin Scorsese
Lee Daniels' The Butler,Lee Daniels
The Hangover Part III,Todd Phillips
Epic,Chris Wedge
Captain Phillips,Paul Greengrass
Jackass Presents:Bad Grandpa,Jeff Tremaine
Pacific Rim,Guillermo del Toro
This is the End,Evan Goldberg
This is the End,Seth Rogen
Olympus Has Fallen,Antoine Fuqua
42,Brian Helgeland
Elysium,Neill Blomkamp
Planes,Klay Hall
The Lone Ranger,Gore Verbinski
Oblivion,Joseph Kosinski
Insidious Chapter 2,James Wan
Saving Mr. Banks,John Lee Hancock
Turbo,David Soren
2 Guns,Baltasar Kormakur
White House Down,Roland Emmerich
Mama,Andres Muschietti
Safe Haven,Lasse Hallstrom
The Smurfs 2,Raja Gosnell
The Best Man Holiday,Malcolm D. Lee
Percy Jackson:Sea of Monsters,Thor Freudenthal
A Good Day to Die Hard,John Moore
Warm Bodies,Jonathan Levine
Jack the Giant Slayer,Bryan Singer
The Purge,James DeMonaco
Last Vegas,Jon Turteltaub
Prisoners,Denis Villeneuve
After Earth,M. Night Shyamalan
The Secret Life of Walter Mitty,Ben Stiller
Escape From Planet Earth,Cal Brunker
12 Years a Slave,Steve McQueen (II)
Free Birds,Jimmy Hayward
Hansel and Gretel:Witch Hunters,Tommy Wirkola
Evil Dead (2013),Fede Alvarez
Red 2,Dean Parisot
Tyler Perry's A Madea Christmas,Tyler Perry
Tyler Perry's Temptation:Confessions of a Marriage Counselor,Tyler Perry
The Call,Brad Anderson
Pain and Gain,Michael Bay
Gangster Squad,Ruben Fleischer
The Internship,Shawn Levy
Snitch,Ric Roman Waugh
Riddick,David Twohy
A Haunted House,Michael Tiddes
47 Ronin,Carl Rinsch
August:Osage County,John Wells
Philomena,Stephen Frears
The Family (2013),Luc Besson
Walking with Dinosaurs,Barry Cook
Walking with Dinosaurs,Neil Nightingale
Carrie (2013),Kimberly Peirce
Texas Chainsaw 3D,John Luessenhop
R.I.P.D.,Robert Schwentke
Blue Jasmine,Woody Allen
Side Effects (2013),Steven Soderbergh
Scary Movie 5,Malcolm D. Lee
The Mortal Instruments:City of Bones,Harald Zwart
Delivery Man,Ken Scott
Grudge Match,Peter Segal
One Direction:This is Us,Morgan Spurlock
Kick-Ass 2,Jeff Wadlow
Dallas Buyers Club,Jean-Marc Vallee
Rush (2013),Ron Howard
The Host (2013),Andrew Niccol
The World's End,Edgar Wright
21 and Over,Jon Lucas
21 and Over,Scott Moore
Her (2013),Spike Jonze
Escape Plan,Mikael Hafstrom
Don Jon,Joseph Gordon-Levitt
The Incredible Burt Wonderstone,Don Scardino
The Big Wedding,Justin Zackham
Mud,Jeff Nichols
The Place Beyond the Pines,Derek Cianfrance
Broken City,Allen Hughes
Beautiful Creatures (2013),Richard LaGravenese
Runner Runner,Brad Furman
You're Next,Adam Wingard
Quartet,Dustin Hoffman
Admission,Paul Weitz
Nebraska,Alexander Payne
Parker,Taylor Hackford
Enough Said,Nicole Holofcener
Dark Skies,Scott Charles Stewart
The Counselor,Ridley Scott
Jobs,Joshua Michael Stern
Fruitvale Station,Ryan Coogler
The Last Exorcism Part II,Ed Gass-Donnelly
Inside Llewyn Davis,Ethan Coen
Inside Llewyn Davis,Joel Coen
The Last Stand,Jee-woon Kim
Out of the Furnace,Scott Cooper
Getaway (2013),Courtney Solomon
Bullet to the Head,Walter Hill
Battle of the Year,Benson Lee
Movie 43,Elizabeth Banks*
Movie 43,Steven Brill*
Movie 43,Steve Carr*
Movie 43,James Gunn*
Movie 43,Brett Ratner*
Mandela:Long Walk to Freedom,Justin Chadwick
Before Midnight,Richard Linklater
Machete Kills,Robert Rodriguez
Paranoia,Robert Luketic
The Spectacular Now,James Ponsoldt
The Grandmaster,Wong Kar Wai
All Is Lost,J.C. Chandor
Believe,Jon Chu
The Bling Ring,Sofia Coppola
Closed Circuit,John Crowley
The Company You Keep,Robert Redford
Much Ado About Nothing (2013),Joss Whedon
Frances Ha,Noah Baumbach
The Fifth Estate,Bill Condon
In a World,Lake Bell
Trance,Danny Boyle
The East,Zal Batmanglij
Oldboy (2013),Spike Lee
Stories We Tell,Sarah Polley
Kon-Tiki,Joachim Ronning
Kon-Tiki,Espen Sandberg
I'm So Excited,Pedro Almodovar
The Kings of Summer,Jordan Vogt-Roberts
The Invisible Woman,Ralph Fiennes
The Lords of Salem,Rob Zombie
Only God Forgives,Nicolas Winding Refn
Parkland,Peter Landesman
The Reluctant Fundamentalist,Mira Nair
The Inevitable Defeat of Mister and Pete,"George Tillman, Jr."
Drinking Buddies,Joe Swanberg
Starbuck (U.S. only),Ken Scott
Happy People:A Year in the Taiga,Werner Herzog
Great Expectations (2013),Mike Newell
Prince Avalanche,David Gordon Green
Is the Man Who Is Tall Happy?,Michel Gondry
Man of Tai Chi,Keanu Reeves
Passion,Brian De Palma
Byzantium,Neil Jordan
Stuck in Love,Josh Boone
How I Live Now,Kevin Macdonald
The Canyons,Paul Schrader
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola
The We and the I,Michel Gondry
Killing Season,Mark Steven Johnson
Redemption (2013),Steven Knight
Touchy Feely,Lynn Shelton
The Look of Love,Michael Winterbottom
Violet & Daisy,Geoffrey Fletcher
As I Lay Dying,James Franco
Jayne Mansfield's Car,Billy Bob Thornton
Welcome to the Punch,Eran Creevy
Hell Baby,Thomas Lennon & Ben Garant
Pawn Shop Chronicles,Wayne Kramer
Sal,James Franco
Some Velvet Morning,Neil LaBute
Tricked,Paul Verhoeven
Plush,Catherine Hardwicke
Marvel's The Avengers,Joss Whedon
The Dark Knight Rises,Christopher Nolan
The Hunger Games,Gary Ross
Skyfall,Sam Mendes
The Hobbit:An Unexpected Journey,Peter Jackson
The Twilight Saga:Breaking Dawn Part 2,Bill Condon
The Amazing Spider-Man,Marc Webb
Brave,Mark Andrews
Brave,Brenda Chapman
Ted,Seth MacFarlane
Madagascar 3:Europe's Most Wanted,Eric Darnell
Madagascar 3:Europe's Most Wanted,Tom McGrath
Madagascar 3:Europe's Most Wanted,Conrad Vernon
Dr. Seuss' The Lorax,Chris Renaud
Wreck-It Ralph,Rich Moore
Lincoln,Steven Spielberg
MIB 3,Barry Sonnenfeld
Django Unchained,Quentin Tarantino
Snow White and the Huntsman,Rupert Sanders
Les Miserables (2012),Tom Hooper
Taken 2,Olivier Megaton
21 Jump Street,Phil Lord
21 Jump Street,Chris Miller (II)
Argo,Ben Affleck
Silver Linings Playbook,David O. Russell
Prometheus,Ridley Scott
Safe House,Daniel Espinosa
The Vow,Michael Sucsy
Life of Pi,Ang Lee
Magic Mike,Steven Soderbergh
The Bourne Legacy,Tony Gilroy
Journey 2:The Mysterious Island,Brad Peyton
Zero Dark Thirty,Kathryn Bigelow
Flight,Robert Zemeckis
Think Like a Man,Tim Story
The Campaign,Jay Roach
The Expendables 2,Simon West
Wrath of the Titans,Jonathan Liebesman
Jack Reacher,Christopher McQuarrie
Dark Shadows,Tim Burton
Parental Guidance,Andy Fickman
John Carter,Andrew Stanton
Act of Valor,Mike McCoy
Act of Valor,Scott Waugh
This Is 40,Judd Apatow
Contraband,Baltasar Kormakur
Looper,Rian Johnson
Tyler Perry's Madea's Witness Protection,Tyler Perry
Battleship,Peter Berg
Pitch Perfect,Jason Moore
Mirror Mirror,Tarsem
Chronicle (2012),Josh Trank
Hope Springs,David Frankel
Underworld Awakening,Mars Marlind
Underworld Awakening,Bjorn Stein
The Lucky One,Scott Hicks
The Dictator,Larry Charles
Total Recall (2012),Len Wiseman
American Reunion,Jon Hurwitz
American Reunion,Hayden Schlossberg
ParaNorman,Sam Fell
This Means War,McG
Project X,Nima Nourizadeh
The Woman in Black,James Watkins
Paranormal Activity 4,Henry Joost
Paranormal Activity 4,Ariel Schulman
The Devil Inside,William Brent Bell
The Odd Life of Timothy Green,Peter Hedges
Ghost Rider:Spirit of Vengeance,Mark Neveldine
Ghost Rider:Spirit of Vengeance,Brian Taylor
The Grey,Joe Carnahan
The Possession,Ole Bornedal
Diary of a Wimpy Kid:Dog Days,David Bowers
Sinister,Scott Derrickson
Savages (2012),Oliver Stone
The Best Exotic Marigold Hotel,John Madden
Moonrise Kingdom,Wes Anderson
Here Comes the Boom,Frank Coraci
Red Dawn (2012),Dan Bradley
The Three Stooges,The Farrelly Bros.
Resident Evil:Retribution,Paul W.S. Anderson
The Cabin in the Woods,Drew Goddard
What to Expect When You're Expecting,Kirk Jones
End of Watch,David Ayer
Rock of Ages,Adam Shankman
Abraham Lincoln:Vampire Hunter,Timur Bekmambetov
Lawless,John Hillcoat
The Guilt Trip,Anne Fletcher
That's My Boy,Sean Anders
Trouble with the Curve,Robert Lorenz
The Watch,Akiva Schaffer
Frankenweenie,Tim Burton
Step Up Revolution,Scott Speer
Tyler Perry's Good Deeds,Tyler Perry
2016 Obama's America,Dinesh D'Souza
2016 Obama's America,John Sullivan
House at the End of The Street,Mark Tonderai
The Pirates! Band of Misfits,Peter Lord
Joyful Noise,Todd Graff
The Five-Year Engagement,Nick Stoller
Cloud Atlas,Tom Tykwer
Cloud Atlas,Lilly & Lana Wachowski
One For the Money,Julie Anne Robinson
Alex Cross,Rob Cohen
Sparkle (2012),Salim Akil
Premium Rush,David Koepp
Big Miracle,Ken Kwapis
The Impossible,J.A. Bayona
Haywire,Steven Soderbergh
Man on a Ledge,Asger Leth
A Thousand Words,Brian Robbins
The Perks of Being a Wallflower,Stephen Chbosky
Silent Hill:Revelation 3D,Michael J. Bassett
Wanderlust,David Wain
Safe (2012),Boaz Yakin
To Rome with Love,Woody Allen
The Master,Paul Thomas Anderson
The Raven,James McTeigue
Killing Them Softly,Andrew Dominik
Hit and Run,David Palmer
Dredd,Pete Travis
Playing for Keeps,Gabriele Muccino
Anna Karenina,Joe Wright
Beasts of the Southern Wild,Benh Zeitlin
Silent House,Chris Kentis
Silent House,Laura Lau
Cirque Du Soleil:Worlds Away,Andrew Adamson
People Like Us,Alex Kurtzman
Gone,Heitor Dhalia
The Words,Brian Klugman
The Words,Lee Sternthal
Fun Size,Josh Schwartz
Bernie,Richard Linklater
Salmon Fishing in the Yemen,Lasse Hallstrom
Arbitrage,Nicholas Jarecki
Promised Land (2012),Gus Van Sant
Seeking a Friend for the End of the World,Lorene Scafaria
The Collection,Marcus Dunstan
Amour,Michael Haneke
Hitchcock,Sacha Gervasi
Chasing Mavericks,Michael Apted
Chasing Mavericks,Curtis Hanson
For Greater Glory,Dean Wright
Won't Back Down,Daniel Barnz
The Apparition,Todd Lincoln
