MOVIE_NAME,PRODUCER
Teenage Mutant Ninja Turtles (2014),Brad Fuller
Teenage Mutant Ninja Turtles (2014),Scott Mednick
Teenage Mutant Ninja Turtles (2014),Brian Tyler
Interstellar,Christopher Nolan
Interstellar,Lynda Obst
Interstellar,Emma Thomas
Interstellar,Thomas Tull
Interstellar,Hans Zimmer
How to Train Your Dragon 2,Dean DeBlois
How to Train Your Dragon 2,Chris Sanders
How to Train Your Dragon 2,John Powell
Gone Girl,Cean Chaffin
Gone Girl,Arnon Milchan
Gone Girl,Bruna Papandrea
Gone Girl,Reese Witherspoon
Gone Girl,Trent Reznor
Gone Girl,Atticus Ross
Divergent,Lucy Fisher
Divergent,Douglas Wick
Divergent,Junkie XL
Neighbors,Andrew J. Cohen
Neighbors,Evan Goldberg
Neighbors,Brendan O'Brien
Neighbors,Seth Rogen
Neighbors,James Weaver
Ride Along,Matt Alvarez
Ride Along,Ice Cube
Ride Along,Will Packer
Ride Along,J.C. Spink
Ride Along,Christopher Lennertz
Rio 2,Bruce Anderson
Rio 2,John C. Donkin
Rio 2,John Powell
Into the Woods,John DeLuca
Into the Woods,Rob Marshall
Into the Woods,Marc Platt
Lucy,Virginie Silla
The Fault in our Stars,Marty Bowen
The Fault in our Stars,Wyck Godfrey
Unbroken,Jon Jashni
Unbroken,Angelina Jolie
Unbroken,Thomas Tull
Unbroken,Alexandre Desplat
Night at the Museum:Secret of the Tomb,Chris Columbus
Night at the Museum:Secret of the Tomb,Shawn Levy
Night at the Museum:Secret of the Tomb,Alan Silvestri
Mr. Peabody & Sherman,Jason Clark
Mr. Peabody & Sherman,Eric Ellenbogen
Mr. Peabody & Sherman,Denise Nolan Cascino
Mr. Peabody & Sherman,Alex Schwartz
Mr. Peabody & Sherman,Tiffany Ward
Mr. Peabody & Sherman,Danny Elfman
300:Rise of An Empire,Gianni Nunnari
300:Rise of An Empire,Mark Canton
300:Rise of An Empire,Zack Snyder
300:Rise of An Empire,Deborah Snyder
300:Rise of An Empire,Bernie Goldmann
300:Rise of An Empire,Thomas Tull
300:Rise of An Empire,Frank Miller
300:Rise of An Empire,Stephen Jones
300:Rise of An Empire,Jon Jashni
300:Rise of An Empire,Junkie XL
The Maze Runner,Marty Bowen
The Maze Runner,Wyck Godfrey
The Maze Runner,Joe Hartwick Jr.
The Maze Runner,John Paesano
The Equalizer,Todd Black
The Equalizer,Jason Blumenthal
The Equalizer,Tony Eldridge
The Equalizer,Steve Tisch
The Equalizer,Denzel Washington
The Equalizer,Richard Wenk
The Equalizer,Harry Gregson-Williams
Noah,Ari Handel
Noah,Arnon Milchan
Noah,Mary Parent
Edge of Tomorrow,Jason Hoffs
Edge of Tomorrow,Gregory Jacobs
Edge of Tomorrow,Tom Lassally
Edge of Tomorrow,Jeffrey Silver
Edge of Tomorrow,Erwin Stoff
Edge of Tomorrow,Christophe Beck
Non-Stop,Alex Heineman
Non-Stop,Joel Silver
Non-Stop,Jeff Wadlow
Non-Stop,John Ottman
Heaven is for Real,T.D. Jakes
Heaven is for Real,Joe Roth
Heaven is for Real,Nick Glennie-Smith
The Imitation Game,Nora Grossman
The Imitation Game,Graham Moore
The Imitation Game,Ido Ostrowsky
The Imitation Game,Teddy Schwarzman
The Imitation Game,Alexandre Desplat
Dumb and Dumber To,Riza Aziz
Dumb and Dumber To,The Farrelly Bros.
Dumb and Dumber To,Joey McFarland
Dumb and Dumber To,Charles B. Wessler
Annie (2014),Will Gluck
Annie (2014),Jada Pinkett-Smith
Annie (2014),Will Smith
Fury (2014),David Ayer
Fury (2014),Brad Pitt
Fury (2014),Steven Price
Tammy,Will Ferrell
Tammy,Melissa McCarthy
Tammy,Adam McKay
Annabelle,Peter Safran
Annabelle,James Wan
Annabelle,Joseph Bishara
The Other Woman (2014),Julie Yorn
The Other Woman (2014),Aaron Zigman
Penguins of Madagascar,Lara Breay
Penguins of Madagascar,Eric Darnell
Penguins of Madagascar,Tom McGrath
Penguins of Madagascar,Mireille Soria
Penguins of Madagascar,Mark Swift
Let's Be Cops,Luke Greenfield
Let's Be Cops,Simon Kinberg
Let's Be Cops,Nicholas Thomas
Let's Be Cops,Christophe Beck
The Monuments Men,George Clooney
The Monuments Men,Grant Heslov
The Monuments Men,Alexandre Desplat
Hercules (2014),Peter Berg
Hercules (2014),Beau Flynn
Hercules (2014),Stephen Jones
Hercules (2014),Brett Ratner
The Purge:Anarchy,Michael Bay
The Purge:Anarchy,Jason Blum
The Purge:Anarchy,Andrew Form
The Purge:Anarchy,Brad Fuller
The Purge:Anarchy,Nathan Whitehead
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Shawn Levy
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Christophe Beck
Think Like a Man Too,Will Packer
Think Like a Man Too,Christopher Lennertz
Exodus:Gods and Kings,Peter Chernin
Exodus:Gods and Kings,Ridley Scott
Exodus:Gods and Kings,Alberto Iglesias
The Nut Job,Graham Moloy
The Nut Job,Paul Intson
Son of God,Mark Burnett
Son of God,Hans Zimmer
The Grand Budapest Hotel,Wes Anderson
The Grand Budapest Hotel,Steven M. Rales
The Grand Budapest Hotel,Scott Rudin
The Grand Budapest Hotel,Alexandre Desplat
Planes:Fire & Rescue,John Lasseter
Planes:Fire & Rescue,Mark Mancina
RoboCop (2014),Marc Abraham
RoboCop (2014),Roger Birnbaum
RoboCop (2014),Brad Fischer
RoboCop (2014),Eric Newman
Dracula Untold,Michael De Luca
Dracula Untold,Jon Jashni
Dracula Untold,Thomas Tull
Dracula Untold,Ramin Djawadi
Horrible Bosses 2,Chris Bender
Horrible Bosses 2,Brett Ratner
Horrible Bosses 2,Jay Stern
Horrible Bosses 2,Christopher Lennertz
The Hundred-Foot Journey,Jeff Skoll
The Hundred-Foot Journey,Steven Spielberg
The Hundred-Foot Journey,A.R. Rahman
No Good Deed (2014),Idris Elba
No Good Deed (2014),Rob Hardy
No Good Deed (2014),Taraji P. Henson
No Good Deed (2014),Will Packer
No Good Deed (2014),Paul Haslinger
Selma,Ava DuVernay
Selma,Dede Gardner
Selma,Jeremy Kleiner
Selma,Brad Pitt
Muppets Most Wanted,David Hoberman
Muppets Most Wanted,Nick Stoller
Muppets Most Wanted,Christophe Beck
Ouija,Michael Bay
Ouija,Jason Blum
Ouija,Brad Fuller
Ouija,Juliet Snowden
The Boxtrolls,Travis Knight
The Boxtrolls,Dario Marianelli
Jack Ryan:Shadow Recruit,Lorenzo di Bonaventura
Jack Ryan:Shadow Recruit,Dana Goldberg
Jack Ryan:Shadow Recruit,Mark Vahradian
Jack Ryan:Shadow Recruit,Patrick Doyle
If I Stay,Denise Di Novi
If I Stay,Alison Greenspan
If I Stay,Heitor Pereira
The Book of Life (2014),Guillermo del Toro
About Last Night (2014),Will Gluck
About Last Night (2014),Will Packer
About Last Night (2014),Marcus Miller
Into The Storm,Todd Garner
Into The Storm,Brian Tyler
The Judge,David Dobkin
The Judge,Susan Downey
The Judge,"Robert Downey, Jr."
The Judge,Thomas Newman
Jersey Boys,Clint Eastwood
Jersey Boys,Tim Headington
Jersey Boys,Graham King
Jersey Boys,Robert Lorenz
Jersey Boys,Tim Moore
Jersey Boys,Brett Ratner
Blended,Jack Giarraputo
Blended,Adam Sandler
The Giver,Scooter Braun
The Giver,Jeff Bridges
The Giver,Nikki Silver
The Giver,Ralph Winter
The Giver,Marco Beltrami
St. Vincent,Don Cheadle
St. Vincent,Peter Chernin
St. Vincent,Theodore Melfi
St. Vincent,Theodore Shapiro
Need for Speed,John Gatins
Need for Speed,Tim Moore
Need for Speed,Scott Waugh
Need for Speed,Nathan Furst
A Million Ways to Die in the West,Jason Clark
A Million Ways to Die in the West,Seth MacFarlane
A Million Ways to Die in the West,Scott Stuber
John Wick,David Leitch
John Wick,Keanu Reeves
John Wick,Chad Stahelski
John Wick,Mike Witherill
Dolphin Tale 2,Broderick Johnson
Dolphin Tale 2,Andrew A. Kosove
Dolphin Tale 2,Rachel Portman
The Expendables 3,Brian Tyler
Earth to Echo,Ryan Kavanaugh
Earth to Echo,Andrew Panay
Earth to Echo,Tucker Tooley
Sex Tape,Todd Black
Sex Tape,Jason Blumenthal
Sex Tape,Steve Tisch
Wild (2014),Bruna Papandrea
Wild (2014),Reese Witherspoon
Million Dollar Arm,Joe Roth
Million Dollar Arm,A.R. Rahman
The Theory of Everything,Tim Bevan
The Theory of Everything,Eric Fellner
The Theory of Everything,Anthony McCarten
This is Where I Leave You,Shawn Levy
This is Where I Leave You,Jonathan Tropper
This is Where I Leave You,Michael Giacchino
The Gambler,Stephen Levinson
The Gambler,Mark Wahlberg
The Gambler,Irwin Winkler
The Gambler,Jon Brion
The Gambler,Theo Green
Paranormal Activity:The Marked Ones,Jason Blum
Paranormal Activity:The Marked Ones,Oren Peli
Paranormal Activity:The Marked Ones,Steven Schneider
Nightcrawler,Jennifer Fox
Nightcrawler,Tony Gilroy
Nightcrawler,Jake Gyllenhaal
Nightcrawler,James Newton Howard
Chef,Jon Favreau
Get On Up,Brian Grazer
Get On Up,Thomas Newman
3 Days to Kill,Luc Besson
3 Days to Kill,Adi Hasak
3 Days to Kill,Ryan Kavanaugh
3 Days to Kill,Virginie Silla
3 Days to Kill,Tucker Tooley
Deliver Us From Evil,Paul Harris Boardman
Deliver Us From Evil,Jerry Bruckheimer
Deliver Us From Evil,Christopher Young
When the Game Stands Tall,David Zelon
When the Game Stands Tall,John Paesano
Draft Day,Ali Bell
Draft Day,Joe Medjuck
Draft Day,Tom Pollock
Draft Day,Gigi Pritzker
Draft Day,Ivan Reitman
Draft Day,John Debney
Oculus,Marc D. Evans
Oculus,Trevor Macy
The Best of Me,Denise Di Novi
The Best of Me,Alison Greenspan
The Best of Me,Ryan Kavanaugh
The Best of Me,Tucker Tooley
The Best of Me,Aaron Zigman
A Walk Among the Tombstones,Danny DeVito
A Walk Among the Tombstones,Michael Shamberg
